	loss	val_loss	learning_rate	epochs	kappa
0	636.2483834292943	666.8589853140024	0.5	0	0.01
1	633.3290604107749	659.077650803786	0.5	1	0.01
2	633.3271121170613	660.4531907301682	0.5	2	0.01
3	633.3296341607432	654.9349646935096	0.5	3	0.01
4	633.3318583118053	663.906005859375	0.5	4	0.01
5	633.3288609781512	663.7494788536659	0.5	5	0.01
6	633.3264986092078	660.7047964242788	0.5	6	0.01
7	633.3256874317372	659.016836313101	0.5	7	0.01
8	633.3244217363086	660.8785916841947	0.5	8	0.01
9	633.3221280459657	660.8945875901443	0.5	9	0.01
10	633.3219113025586	660.1134033203125	0.5	10	0.01
11	633.3216247098408	659.6207557091346	0.5	11	0.01
12	633.3216773224055	659.5153526893029	0.5	12	0.01
13	633.3339415657709	664.1981576772837	0.5	13	0.01
14	633.330563066347	657.2720149113582	0.5	14	0.01
15	633.3291179329203	657.2453002929688	0.5	15	0.01
16	633.3286558354215	656.4998779296875	0.5	16	0.01
17	633.3228230130621	657.470210148738	0.5	17	0.01
18	633.3208966898374	656.773188664363	0.5	18	0.01
19	633.3207433082466	657.2249427208534	0.5	19	0.01
